Tissue	Assession
hippocampus	GSM1835390
hippocampus	GSM1816923
hippocampus	GSM1816939
hippocampus	GSM1835373
hippocampus	GSM1835514
hippocampus	GSM1835461
hippocampus	GSM1835400
hippocampus	GSM1835464
hippocampus	GSM1835424
hippocampus	GSM1835479
hippocampus	GSM1835518
hippocampus	GSM1835531
hippocampus	GSM1835481
hippocampus	GSM1835382
hippocampus	GSM1835519
hippocampus	GSM1835437
hippocampus	GSM1835501
hippocampus	GSM1835391
hippocampus	GSM1835363
hippocampus	GSM1835468
hippocampus	GSM1835503
hippocampus	GSM1835462
hippocampus	GSM1835521
hippocampus	GSM1835526
hippocampus	GSM1835451
hippocampus	GSM1816936
hippocampus	GSM1268932
hippocampus	GSM1835431
hippocampus	GSM1835420
hippocampus	GSM1835386
hippocampus	GSM1835401
hippocampus	GSM1591601
hippocampus	GSM1835388
hippocampus	GSM1835474
hippocampus	GSM1835395
hippocampus	GSM1835457
hippocampus	GSM1835512
hippocampus	GSM1835444
hippocampus	GSM2044672
hippocampus	GSM1835432
hippocampus	GSM1468806
hippocampus	GSM1835510
hippocampus	GSM1835507
hippocampus	GSM1366259
hippocampus	GSM1835517
hippocampus	GSM1835403
hippocampus	GSM1835493
hippocampus	GSM1268933
hippocampus	GSM1835453
hippocampus	GSM1835509
hippocampus	GSM1835369
hippocampus	GSM1366256
hippocampus	GSM1366264
hippocampus	GSM1835429
hippocampus	GSM1591598
hippocampus	GSM1835439
hippocampus	GSM1835492
hippocampus	GSM1835498
hippocampus	GSM1816930
hippocampus	GSM1816935
hippocampus	GSM1835405
hippocampus	GSM1835409
hippocampus	GSM1366257
hippocampus	GSM1835445
hippocampus	GSM1816926
hippocampus	GSM1835499
hippocampus	GSM1835417
hippocampus	GSM1835396
hippocampus	GSM1835380
hippocampus	GSM2044670
hippocampus	GSM1835383
hippocampus	GSM1835454
hippocampus	GSM1835528
hippocampus	GSM1835421
hippocampus	GSM1835427
hippocampus	GSM1366266
hippocampus	GSM1835365
hippocampus	GSM1835443
hippocampus	GSM1835460
hippocampus	GSM1835467
hippocampus	GSM2044668
hippocampus	GSM1816932
hippocampus	GSM1835448
hippocampus	GSM1835404
hippocampus	GSM1366255
hippocampus	GSM1816928
hippocampus	GSM1835394
hippocampus	GSM1366261
hippocampus	GSM1835372
hippocampus	GSM1835376
hippocampus	GSM1835470
hippocampus	GSM1835449
hippocampus	GSM1835506
hippocampus	GSM1835414
hippocampus	GSM1835530
hippocampus	GSM1835488
hippocampus	GSM1835465
hippocampus	GSM1835366
hippocampus	GSM1816933
hippocampus	GSM1835392
hippocampus	GSM1835475
hippocampus	GSM1835472
hippocampus	GSM1468809
hippocampus	GSM1835495
hippocampus	GSM1835397
hippocampus	GSM1366258
hippocampus	GSM1835425
hippocampus	GSM1591603
hippocampus	GSM1835500
hippocampus	GSM2044669
hippocampus	GSM1816927
hippocampus	GSM1835491
hippocampus	GSM1835371
hippocampus	GSM1816940
hippocampus	GSM1835480
hippocampus	GSM1835490
hippocampus	GSM1835473
hippocampus	GSM1835393
hippocampus	GSM1835513
hippocampus	GSM1835452
hippocampus	GSM1835486
hippocampus	GSM1835384
hippocampus	GSM1835487
hippocampus	GSM1591600
hippocampus	GSM1366265
hippocampus	GSM1835362
hippocampus	GSM1835398
hippocampus	GSM1591602
hippocampus	GSM1268934
hippocampus	GSM1835438
hippocampus	GSM1835455
hippocampus	GSM1468808
hippocampus	GSM1835434
hippocampus	GSM1835483
hippocampus	GSM1835406
hippocampus	GSM1835410
hippocampus	GSM1835450
hippocampus	GSM1835508
hippocampus	GSM1591592
hippocampus	GSM1835478
hippocampus	GSM1835502
hippocampus	GSM1835387
hippocampus	GSM1835418
hippocampus	GSM1591599
hippocampus	GSM1835469
hippocampus	GSM1835377
hippocampus	GSM1835422
hippocampus	GSM1835419
hippocampus	GSM1835408
hippocampus	GSM1835477
hippocampus	GSM1835529
hippocampus	GSM1816938
hippocampus	GSM1835471
hippocampus	GSM1835381
hippocampus	GSM1816931
hippocampus	GSM1591593
hippocampus	GSM1835515
hippocampus	GSM1835458
hippocampus	GSM1816929
hippocampus	GSM1366271
hippocampus	GSM1366270
hippocampus	GSM1835485
hippocampus	GSM1835428
hippocampus	GSM1835370
hippocampus	GSM1835459
hippocampus	GSM1366263
hippocampus	GSM1835399
hippocampus	GSM1468805
hippocampus	GSM1835525
hippocampus	GSM2044673
hippocampus	GSM1835532
hippocampus	GSM1835520
hippocampus	GSM1835360
hippocampus	GSM1835402
hippocampus	GSM1835466
hippocampus	GSM1816934
hippocampus	GSM1835436
hippocampus	GSM1835440
hippocampus	GSM1835516
hippocampus	GSM1835484
hippocampus	GSM1835364
