Color	Gene	Number
red	Fahd2a	6
brown	Faim	3
royalblue	Faim2	20
skyblue	Faim3	28
lightgreen	Fam101a	18
black	Fam101b	7
yellow	Fam102a	4
orangered3	Fam102b	68
cyan	Fam103a1	14
ivory	Fam104a	43
darkgrey	Fam105a	24
lightcyan	Fam107a	16
skyblue	Fam107b	28
yellow	Fam109a	4
lightpink3	Fam109b	85
grey60	Fam110a	17
lightgreen	Fam110b	18
greenyellow	Fam110c	11
indianred4	Fam111a	72
thistle2	Fam114a1	50
black	Fam114a2	7
greenyellow	Fam117a	11
black	Fam117b	7
thistle2	Fam118a	50
lightgreen	Fam118b	18
coral	Fam120a	89
salmon	Fam120b	13
red	Fam120c	6
mediumpurple2	Fam122a	69
yellowgreen	Fam122b	36
orange	Fam122c	25
lavenderblush2	Fam124a	86
yellowgreen	Fam124b	36
blue	Fam126a	2
darkred	Fam126b	21
antiquewhite4	Fam129a	61
black	Fam129b	7
honeydew	Fam131a	87
red	Fam131b	6
red	Fam132a	6
orange	Fam132b	25
tan	Fam133b	12
paleturquoise	Fam134a	31
darkturquoise	Fam134b	23
thistle1	Fam134c	51
turquoise	Fam135a	1
yellow	Fam135b	4
plum1	Fam136a	38
blue	Fam13a	2
violet	Fam13b	32
chocolate4	Fam13c	118
orange	Fam149a	25
orangered1	Fam149b	97
coral	Fam151a	89
skyblue	Fam151b	28
royalblue	Fam154a	20
blue	Fam154b	2
palevioletred3	Fam155a	53
brown2	Fam159b	75
lightpink4	Fam160a1	56
brown4	Fam160a2	46
yellow	Fam160b1	4
indianred4	Fam160b2	72
brown	Fam161a	3
paleturquoise	Fam161b	31
plum1	Fam162a	38
mediumpurple2	Fam162b	69
paleturquoise	Fam163a	31
yellow	Fam163b	4
pink	Fam166b	8
darkgreen	Fam167a	22
salmon	Fam167b	13
orange	Fam168a	25
coral1	Fam168b	60
brown	Fam169a	3
antiquewhite4	Fam169b	61
skyblue3	Fam170a	37
darkviolet	Fam170b	77
cyan	Fam171a1	14
greenyellow	Fam171a2	11
yellow	Fam171b	4
yellow	Fam172a	4
antiquewhite2	Fam173a	90
